player,mins,goals,assists,ga,wcs,fw,squad,ga90
Daichi Kamada,322,0,0.0,0.0,1,True,jpJapan,0.0
Daisuke Matsui,268,0,0.0,0.0,1,True,jpJapan,0.0
Daizen Maeda,180,1,0.0,1.0,1,True,jpJapan,0.5
Dale Mitchell,90,0,0.0,0.0,1,True,caCanada,0.0
Damien Duff,390,1,0.0,1.0,1,True,ieRep. of Ireland,0.23076923076923078
Dani Olmo,367,1,1.0,2.0,1,True,esSpain,0.49046321525885556
Dani Shmulevich-Rom,101,0,0.0,0.0,1,True,ilIsrael,0.0
Daniel Amokachi,370,2,1.0,3.0,2,True,ngNigeria,0.7297297297297298
Daniel Bertoni,876,4,0.0,4.0,2,True,arArgentina,0.410958904109589
Daniel Colindres,98,0,0.0,0.0,1,True,crCosta Rica,0.0
Daniel Fonseca,119,1,0.0,1.0,1,True,uyUruguay,0.7563025210084033
Daniel James,154,0,0.0,0.0,1,True,wlsWales,0.0
Daniel Ruiz,90,1,0.0,1.0,1,True,esSpain,1.0
Daniel Sturridge,259,1,0.0,1.0,1,True,engEngland,0.3474903474903475
Daniel Veyt,501,1,0.0,1.0,1,True,beBelgium,0.17964071856287422
Daniele Massaro,443,1,0.0,1.0,1,True,itItaly,0.20316027088036115
Danilo Popivoda,90,0,0.0,0.0,1,True,yuYugoslavia,0.0
Danny Welbeck,142,0,0.0,0.0,2,True,engEngland,0.0
Darius Vassell,99,0,0.0,0.0,1,True,engEngland,0.0
Dariusz Dziekanowski,325,0,0.0,0.0,1,True,plPoland,0.0
Darko Pančev,182,2,0.0,2.0,1,True,yuYugoslavia,0.989010989010989
Darren Jackson,137,0,0.0,0.0,1,True,sctScotland,0.0
Darwin Núñez,240,0,0.0,0.0,1,True,uyUruguay,0.0
Darío Silva,239,0,0.0,0.0,1,True,uyUruguay,0.0
David Embé,190,1,0.0,1.0,1,True,cmCameroon,0.47368421052631576
David Odonkor,125,0,0.0,0.0,1,True,deGermany,0.0
David Silva,565,0,0.0,0.0,3,True,esSpain,0.0
David Suazo,169,0,0.0,0.0,1,True,hnHonduras,0.0
David Trezeguet,723,1,1.0,2.0,3,True,frFrance,0.24896265560165975
David Villa,895,9,0.0,9.0,3,True,esSpain,0.9050279329608938
Davor Vugrinec,95,0,0.0,0.0,1,True,hrCroatia,0.0
Davor Šuker,693,6,0.0,6.0,2,True,hrCroatia,0.7792207792207793
Dejan Savićević,244,0,0.0,0.0,2,True,rsYugoslavia,0.0
Demetrio Albertini,936,0,0.0,0.0,2,True,itItaly,0.0
Denis Law,90,0,0.0,0.0,1,True,sctScotland,0.0
Dennis Bergkamp,1044,6,3.0,9.0,2,True,nlNetherlands,0.7758620689655172
Dennis Rommedahl,628,2,0.0,2.0,2,True,dkDenmark,0.28662420382165604
Denís Milar,207,0,0.0,0.0,1,True,uyUruguay,0.0
Deon Burton,146,0,0.0,0.0,1,True,jmJamaica,0.0
Dick Nanninga,115,1,0.0,1.0,1,True,nlNetherlands,0.782608695652174
Didier Drogba,522,2,0.0,2.0,3,True,ciCôte d'Ivoire,0.3448275862068965
Didier Six,627,2,0.0,2.0,2,True,frFrance,0.28708133971291866
Diego Costa,441,3,0.0,3.0,2,True,esSpain,0.6122448979591837
Diego Forlán,809,6,0.0,6.0,3,True,uyUruguay,0.6674907292954265
Diego Maradona,1936,8,0.0,8.0,4,True,arArgentina,0.371900826446281
Diego Milito,91,0,0.0,0.0,1,True,arArgentina,0.0
Diego Tristán,111,0,0.0,0.0,1,True,esSpain,0.0
Dieter Hoeneß,92,0,0.0,0.0,1,True,deWest Germany,0.0
Dieter Müller,329,2,0.0,2.0,1,True,deWest Germany,0.547112462006079
Dimitar Marashliev,122,0,0.0,0.0,1,True,bgBulgaria,0.0
Dimitar Yakimov,409,0,0.0,0.0,2,True,bgBulgaria,0.0
Dimitris Salpingidis,346,1,0.0,1.0,2,True,grGreece,0.26011560693641617
Dimitris Saravakos,90,0,0.0,0.0,1,True,grGreece,0.0
Dinko Dermendzhiev,315,1,0.0,1.0,2,True,bgBulgaria,0.2857142857142857
Dirk Kuyt,1295,1,0.0,1.0,3,True,nlNetherlands,0.0694980694980695
Divock Origi,246,1,0.0,1.0,1,True,beBelgium,0.3658536585365854
Djamel Menad,123,0,0.0,0.0,1,True,dzAlgeria,0.0
Djamel Zidane,291,1,0.0,1.0,2,True,dzAlgeria,0.30927835051546393
Djibril Cissé,111,0,0.0,0.0,2,True,frFrance,0.0
