player,mins,goals,assists,ga,wcs,fw,squad,ga90
Héctor Yazalde,257,2,0.0,2.0,1,True,arArgentina,0.7003891050583657
Hélder Postiga,134,0,0.0,0.0,2,True,ptPortugal,0.0
Ian Stewart,151,0,0.0,0.0,1,True,nirNorthern Ireland,0.0
Igor Belanov,312,4,0.0,4.0,1,True,suSoviet Union,1.1538461538461537
Igor Chislenko,313,2,0.0,2.0,1,True,suSoviet Union,0.5750798722044728
Igor Dobrovolski,250,1,0.0,1.0,1,True,suSoviet Union,0.36
Igor Vrablic,180,0,0.0,0.0,1,True,caCanada,0.0
Ilie Dumitrescu,539,2,0.0,2.0,3,True,roRomania,0.3339517625231911
Iliman Ndiaye,135,0,1.0,1.0,1,True,snSenegal,0.6666666666666667
Inge Ejderstedt,184,0,0.0,0.0,2,True,seSweden,0.0
Ion Andoni Goikoetxea,393,2,0.0,2.0,1,True,esSpain,0.45801526717557256
Ion Dumitru,260,0,0.0,0.0,1,True,roRomania,0.0
Ireneusz Jeleń,203,0,0.0,0.0,1,True,plPoland,0.0
Isidoro Díaz,301,0,0.0,0.0,2,True,mxMexico,0.0
Islam Slimani,324,2,1.0,3.0,1,True,dzAlgeria,0.8333333333333333
Ismaila Sarr,614,1,0.0,1.0,2,True,snSenegal,0.1465798045602606
Issam Jebali,182,0,0.0,0.0,1,True,tnTunisia,0.0
Ivan Klasnić,153,0,0.0,0.0,1,True,hrCroatia,0.0
Ivan Kolev,180,0,0.0,0.0,1,True,bgBulgaria,0.0
Ivan Perišić,1555,6,5.0,11.0,3,True,hrCroatia,0.6366559485530547
Ivaylo Petkov,180,0,0.0,0.0,1,True,bgBulgaria,0.0
Ivaylo Yordanov,390,0,0.0,0.0,2,True,bgBulgaria,0.0
Ivica Olić,479,2,0.0,2.0,3,True,hrCroatia,0.3757828810020876
Ivica Vastić,117,1,0.0,1.0,1,True,atAustria,0.7692307692307693
Ivica Šurjak,810,2,0.0,2.0,2,True,yuYugoslavia,0.2222222222222222
Ivo Knoflíček,426,0,0.0,0.0,1,True,csCzechoslovakia,0.0
Iván Kaviedes,247,1,0.0,1.0,2,True,ecEcuador,0.3643724696356275
Iván Zamorano,360,0,0.0,0.0,1,True,clChile,0.0
Iñaki Williams,270,0,0.0,0.0,1,True,ghGhana,0.0
Jacek Krzynówek,513,0,0.0,0.0,2,True,plPoland,0.0
Jackson Irvine,401,0,0.0,0.0,2,True,auAustralia,0.0
Jackson Martínez,195,2,0.0,2.0,1,True,coColombia,0.9230769230769231
Jacques N'Guea,117,0,0.0,0.0,1,True,cmCameroon,0.0
Jaime Portillo,90,0,0.0,0.0,1,True,svEl Salvador,0.0
Jairzinho,1429,9,0.0,9.0,3,True,brBrazil,0.5668299510146956
James Obiorah,90,0,0.0,0.0,1,True,ngNigeria,0.0
James Rodríguez,551,6,4.0,10.0,2,True,coColombia,1.633393829401089
Jamie Vardy,160,0,0.0,0.0,1,True,engEngland,0.0
Jan Ceulemans,1504,4,0.0,4.0,3,True,beBelgium,0.23936170212765956
Jan Domarski,122,0,0.0,0.0,1,True,plPoland,0.0
Jan Karaś,193,0,0.0,0.0,1,True,plPoland,0.0
Jan Urban,297,0,0.0,0.0,1,True,plPoland,0.0
Jan Åge Fjørtoft,180,0,0.0,0.0,1,True,noNorway,0.0
Jared Borgetti,483,2,0.0,2.0,2,True,mxMexico,0.3726708074534162
Jasem Yaqoub,180,0,0.0,0.0,1,True,kwKuwait,0.0
Javier Fragoso,450,1,0.0,1.0,2,True,mxMexico,0.2
Javier Hernández,580,4,1.0,5.0,3,True,mxMexico,0.7758620689655172
Javier Saviola,215,1,0.0,1.0,1,True,arArgentina,0.41860465116279066
Javier Valdivia,315,2,0.0,2.0,1,True,mxMexico,0.5714285714285714
Jean Beausejour,428,2,0.0,2.0,2,True,clChile,0.4205607476635514
Jean Kalala N'Tumba,90,0,0.0,0.0,1,True,cdZaire,0.0
Jean-Claude Schindelholz,90,0,0.0,0.0,1,True,chSwitzerland,0.0
Jean-Marc Ferreri,183,1,0.0,1.0,1,True,frFrance,0.4918032786885246
Jean-Pierre Papin,345,2,0.0,2.0,1,True,frFrance,0.5217391304347826
Jean-Pierre Tokoto,137,0,0.0,0.0,1,True,cmCameroon,0.0
Jeff Astle,92,0,0.0,0.0,1,True,engEngland,0.0
Jefferson Farfán,129,0,0.0,0.0,1,True,pePeru,0.0
Jefferson Montero,226,0,0.0,0.0,1,True,ecEcuador,0.0
Jeremain Lens,129,0,0.0,0.0,1,True,nlNetherlands,0.0
Jermain Defoe,172,1,0.0,1.0,1,True,engEngland,0.5232558139534884
Jerry Bengtson,225,0,0.0,0.0,1,True,hnHonduras,0.0
Jerry Palacios,135,0,0.0,0.0,2,True,hnHonduras,0.0
Jesper Grønkjær,354,0,0.0,0.0,2,True,dkDenmark,0.0
Jesper Lindstrøm,200,0,0.0,0.0,1,True,dkDenmark,0.0
Jesper Olsen,229,3,0.0,3.0,1,True,dkDenmark,1.1790393013100435
Jesús María Satrústegui,287,0,0.0,0.0,1,True,esSpain,0.0
Jimmy Greaves,270,0,0.0,0.0,1,True,engEngland,0.0
Joachim Streich,349,2,0.0,2.0,1,True,Germany DR,0.5157593123209169
Joakim Nilsson,270,0,0.0,0.0,1,True,seSweden,0.0
Joaquín,416,0,0.0,0.0,3,True,esSpain,0.0
Joaquín Peiró,180,0,0.0,0.0,1,True,esSpain,0.0
Joe Jordan,610,4,0.0,4.0,3,True,sctScotland,0.5901639344262295
Joe-Max Moore,196,0,0.0,0.0,2,True,usUnited States,0.0
Joel Campbell,796,1,2.0,3.0,3,True,crCosta Rica,0.33919597989949746
Johan Cruyff,630,3,0.0,3.0,1,True,nlNetherlands,0.4285714285714286
Johan Devrindt,116,0,0.0,0.0,1,True,beBelgium,0.0
Johan Venegas,222,0,0.0,0.0,2,True,crCosta Rica,0.0
John Aldridge,373,1,0.0,1.0,2,True,ieRep. of Ireland,0.24128686327077747
John Barnes,405,0,0.0,0.0,2,True,engEngland,0.0
John Connelly,90,0,0.0,0.0,1,True,engEngland,0.0
John Moshoeu,270,0,0.0,0.0,1,True,zaSouth Africa,0.0
John Utaka,90,0,0.0,0.0,1,True,ngNigeria,0.0
John van 't Schip,163,0,0.0,0.0,1,True,nlNetherlands,0.0
Johnny Ekström,119,1,0.0,1.0,1,True,seSweden,0.7563025210084033
Johnny Rep,1157,7,0.0,7.0,2,True,nlNetherlands,0.5445116681071738
Jon Dahl Tomasson,535,5,0.0,5.0,2,True,dkDenmark,0.8411214953271028
Jonas Eduardo Américo,107,0,0.0,0.0,2,True,brBrazil,0.0
Jonathan David,192,0,0.0,0.0,1,True,caCanada,0.0
Jong Tae-se,270,0,0.0,0.0,1,True,kpKorea DPR,0.0
Jordan Ayew,253,0,1.0,1.0,2,True,ghGhana,0.3557312252964427
Jorge Burruchaga,1228,3,0.0,3.0,2,True,arArgentina,0.21986970684039087
Jorge Campos,750,0,0.0,0.0,2,True,mxMexico,0.0
Jorge Mendonça,421,0,0.0,0.0,1,True,brBrazil,0.0
Jorge Orosmán da Silva,225,0,0.0,0.0,1,True,uyUruguay,0.0
Jorge Rodríguez,300,0,0.0,0.0,1,True,mxMexico,0.0
Jorge Valdano,681,4,0.0,4.0,2,True,arArgentina,0.5286343612334802
Joseba Etxeberria,172,0,1.0,1.0,1,True,esSpain,0.5232558139534884
Joseph N'Do,261,0,0.0,0.0,1,True,cmCameroon,0.0
Joseph-Désiré Job,153,0,0.0,0.0,2,True,cmCameroon,0.0
Josh Sargent,157,0,0.0,0.0,1,True,usUnited States,0.0
Joshua Kennedy,159,0,0.0,0.0,2,True,auAustralia,0.0
Josip Drmić,362,1,2.0,3.0,2,True,chSwitzerland,0.7458563535911602
Josip Weber,308,0,0.0,0.0,1,True,beBelgium,0.0
Jostein Flo,282,0,0.0,0.0,2,True,noNorway,0.0
José Augusto Torres,540,3,0.0,3.0,1,True,ptPortugal,0.5
José Cardozo,461,1,0.0,1.0,2,True,pyParaguay,0.19522776572668113
José Daniel Valencia,305,0,0.0,0.0,2,True,arArgentina,0.0
José Luis Caminero,315,3,0.0,3.0,1,True,esSpain,0.8571428571428572
José Luis González Dávila,247,1,0.0,1.0,1,True,mxMexico,0.3643724696356275
José Luis Rodríguez,242,0,0.0,0.0,1,True,paPanama,0.0
José María Rivas,270,0,0.0,0.0,1,True,svEl Salvador,0.0
José Reinaldo de Lima,225,1,0.0,1.0,1,True,brBrazil,0.4
José Roberto Figueroa,270,0,0.0,0.0,1,True,hnHonduras,0.0
José Sasía,180,0,0.0,0.0,1,True,uyUruguay,0.0
José Ufarte,90,0,0.0,0.0,1,True,esSpain,0.0
Jozef Adamec,225,0,0.0,0.0,1,True,csCzechoslovakia,0.0
Jozy Altidore,377,0,0.0,0.0,2,True,usUnited States,0.0
João Félix,331,1,2.0,3.0,1,True,ptPortugal,0.8157099697885197
João Pinto,175,0,0.0,0.0,1,True,ptPortugal,0.0
Juan Carlos Oblitas,724,0,0.0,0.0,2,True,pePeru,0.0
Juan Cayasso,347,1,0.0,1.0,1,True,crCosta Rica,0.25936599423631124
Juan Cuadrado,714,2,5.0,7.0,2,True,coColombia,0.8823529411764706
Juan José Muñante,495,0,0.0,0.0,1,True,pePeru,0.0
Juan Quintero,401,2,2.0,4.0,2,True,coColombia,0.8977556109725685
Juan Ramón Martínez,180,0,0.0,0.0,1,True,svEl Salvador,0.0
Juanito,540,2,0.0,2.0,3,True,esSpain,0.33333333333333337
Julen Guerrero,157,0,0.0,0.0,2,True,esSpain,0.0
Julian Draxler,150,0,0.0,0.0,2,True,deGermany,0.0
Julio Baylón,103,0,0.0,0.0,1,True,pePeru,0.0
Julio César Cortés,919,1,0.0,1.0,2,True,uyUruguay,0.09793253536452666
Julio César Yegros,134,0,0.0,0.0,1,True,pyParaguay,0.0
Julio Losada,180,0,0.0,0.0,1,True,uyUruguay,0.0
Julio Morales,275,0,0.0,0.0,1,True,uyUruguay,0.0
Julio Salinas,934,3,0.0,3.0,3,True,esSpain,0.2890792291220557
Julius Aghahowa,270,1,0.0,1.0,1,True,ngNigeria,0.33333333333333337
Julián Álvarez,464,4,0.0,4.0,1,True,arArgentina,0.7758620689655172
Jupp Heynckes,135,0,0.0,0.0,1,True,deWest Germany,0.0
János Farkas,360,1,0.0,1.0,1,True,huHungary,0.25
József Kiprich,180,0,0.0,0.0,1,True,huHungary,0.0
József Tóth,450,1,0.0,1.0,2,True,huHungary,0.2
Jô,168,0,0.0,0.0,1,True,brBrazil,0.0
Jürgen Grabowski,758,1,0.0,1.0,2,True,deWest Germany,0.11873350923482849
Jürgen Klinsmann,1521,11,1.0,12.0,3,True,deGermany,0.7100591715976332
Kakoko Etepé,135,0,0.0,0.0,1,True,cdZaire,0.0
Kaká,763,1,0.0,1.0,3,True,brBrazil,0.11795543905635648
Kalu Uche,196,2,0.0,2.0,1,True,ngNigeria,0.9183673469387754
Kamil Grosicki,218,0,1.0,1.0,2,True,plPoland,0.41284403669724773
Kang Ryong-woon,90,0,0.0,0.0,1,True,kpKorea DPR,0.0
Kanga Akalé,138,0,0.0,0.0,1,True,ciCôte d'Ivoire,0.0
Kaoru Mitoma,165,0,1.0,1.0,1,True,jpJapan,0.5454545454545454
Karim Ansarifard,237,1,0.0,1.0,3,True,irIR Iran,0.37974683544303794
Karim Benzema,450,3,2.0,5.0,1,True,frFrance,1.0
Karim Maroc,180,0,0.0,0.0,1,True,dzAlgeria,0.0
Karim Matmour,254,0,0.0,0.0,1,True,dzAlgeria,0.0
Karim Saddam,170,0,0.0,0.0,1,True,iqIraq,0.0
Karl Odermatt,90,0,0.0,0.0,1,True,chSwitzerland,0.0
Karl Toko Ekambi,166,0,0.0,0.0,1,True,cmCameroon,0.0
Karl-Heinz Riedle,355,1,0.0,1.0,2,True,deGermany,0.2535211267605634
Karl-Heinz Rummenigge,1272,9,0.0,9.0,3,True,deWest Germany,0.6367924528301887
Karol Jokl,177,0,0.0,0.0,1,True,csCzechoslovakia,0.0
Kasper Dolberg,130,0,0.0,0.0,2,True,dkDenmark,0.0
Katlego Mphela,270,1,0.0,1.0,1,True,zaSouth Africa,0.33333333333333337
Keiji Tamada,149,1,0.0,1.0,2,True,jpJapan,0.6040268456375839
Keisuke Honda,710,4,2.0,6.0,3,True,jpJapan,0.76056338028169
Kelechi Iheanacho,148,0,0.0,0.0,1,True,ngNigeria,0.0
Kennet Andersson,578,5,0.0,5.0,1,True,seSweden,0.7785467128027682
Kenny Burns,180,0,0.0,0.0,1,True,sctScotland,0.0
Kenny Dalglish,597,2,0.0,2.0,3,True,sctScotland,0.30150753768844224
Kenwyne Jones,129,0,0.0,0.0,1,True,ttTrin & Tobago,0.0
Kevin De Bruyne,1200,2,4.0,6.0,3,True,beBelgium,0.45
Kevin Gallacher,270,0,0.0,0.0,1,True,sctScotland,0.0
Kevin Mirallas,222,0,0.0,0.0,1,True,beBelgium,0.0
Kevin-Prince Boateng,545,1,0.0,1.0,2,True,ghGhana,0.1651376146788991
Khalid Boutaïb,139,1,0.0,1.0,1,True,maMorocco,0.6474820143884893
Khalid Ismaïl,171,1,0.0,1.0,1,True,aeUAE,0.5263157894736842
Khodadad Azizi,253,0,0.0,0.0,1,True,irIR Iran,0.0
Kieffer Moore,225,0,0.0,0.0,1,True,wlsWales,0.0
Kiko,142,1,0.0,1.0,1,True,esSpain,0.6338028169014085
Kily González,136,0,0.0,0.0,1,True,arArgentina,0.0
Kim Bong-hwan,90,0,0.0,0.0,1,True,kpKorea DPR,0.0
Kim Do-hoon,158,0,0.0,0.0,1,True,krKorea Republic,0.0
Kim Jung-woo,360,0,0.0,0.0,1,True,krKorea Republic,0.0
Kim Seung-il,180,0,0.0,0.0,1,True,kpKorea DPR,0.0
Kim Shin-wook,165,0,0.0,0.0,2,True,krKorea Republic,0.0
Kingsley Coman,169,0,0.0,0.0,1,True,frFrance,0.0
Klaus Allofs,615,2,0.0,2.0,1,True,deWest Germany,0.2926829268292683
Klaus Fischer,738,2,0.0,2.0,2,True,deWest Germany,0.24390243902439024
Ko Jeong-woon,270,0,0.0,0.0,1,True,krKorea Republic,0.0
Koo Ja-cheol,396,1,0.0,1.0,2,True,krKorea Republic,0.2272727272727273
Kostadin Kostadinov,161,0,0.0,0.0,1,True,bgBulgaria,0.0
Kostas Mitroglou,124,0,0.0,0.0,1,True,grGreece,0.0
Krépin Diatta,181,0,0.0,0.0,1,True,snSenegal,0.0
Kurt Welzl,135,0,0.0,0.0,1,True,atAustria,0.0
Kylian Mbappé,1130,12,2.0,14.0,2,True,frFrance,1.1150442477876106
Ladislav Petráš,270,2,0.0,2.0,1,True,csCzechoslovakia,0.6666666666666667
Ladislav Vízek,266,0,0.0,0.0,1,True,csCzechoslovakia,0.0
Landon Donovan,1094,5,0.0,5.0,3,True,usUnited States,0.4113345521023766
Lautaro Martínez,241,0,0.0,0.0,1,True,arArgentina,0.0
Lazaros Christodoulopoulos,210,0,0.0,0.0,1,True,grGreece,0.0
Leandro Trossard,103,0,0.0,0.0,1,True,beBelgium,0.0
Lee Chun-soo,629,1,0.0,1.0,2,True,krKorea Republic,0.14308426073131955
Lee Chung-yong,602,2,0.0,2.0,2,True,krKorea Republic,0.29900332225913623
Lee Jae-sung,481,0,1.0,1.0,2,True,krKorea Republic,0.18711018711018712
Lee Sang-yoon,180,0,0.0,0.0,1,True,krKorea Republic,0.0
Leif Eriksson,145,0,0.0,0.0,1,True,seSweden,0.0
Leivinha,163,0,0.0,0.0,1,True,brBrazil,0.0
Leonardo Véliz,176,0,0.0,0.0,1,True,clChile,0.0
Leonel Sánchez,270,0,0.0,0.0,1,True,clChile,0.0
Leopoldo Luque,480,4,0.0,4.0,1,True,arArgentina,0.75
Li Dong-woon,180,1,0.0,1.0,1,True,kpKorea DPR,0.5
Li Tie,270,0,0.0,0.0,1,True,cnChina PR,0.0
Lionel Messi,2314,13,6.0,19.0,5,True,arArgentina,0.7389801210025929
Liédson,123,1,0.0,1.0,1,True,ptPortugal,0.7317073170731708
Lothar Emmerich,390,1,0.0,1.0,1,True,deWest Germany,0.23076923076923078
Louis-Paul M'Fédé,561,0,0.0,0.0,2,True,cmCameroon,0.0
Luc Nilis,452,1,0.0,1.0,2,True,beBelgium,0.19911504424778761
Luca Toni,479,2,0.0,2.0,1,True,itItaly,0.3757828810020876
Lucas Barrios,308,0,0.0,0.0,1,True,pyParaguay,0.0
Luis Artime,360,3,0.0,3.0,1,True,arArgentina,0.75
Luis Cubilla,591,1,0.0,1.0,2,True,uyUruguay,0.15228426395939085
Luis Enrique,896,2,1.0,3.0,3,True,esSpain,0.3013392857142857
Luis Flores,244,1,0.0,1.0,1,True,mxMexico,0.36885245901639346
Luis García Postigo,318,2,0.0,2.0,1,True,mxMexico,0.5660377358490566
Luis Garrido,160,0,0.0,0.0,1,True,hnHonduras,0.0
Luis Hernández,460,3,0.0,3.0,2,True,mxMexico,0.5869565217391304
Luis Muriel,93,0,0.0,0.0,1,True,coColombia,0.0
Luis Ramírez Zapata,245,1,0.0,1.0,1,True,svEl Salvador,0.3673469387755102
Luis Roberto Alves,390,0,0.0,0.0,1,True,mxMexico,0.0
Luis Suárez,1492,7,2.0,9.0,5,True,uyUruguay,0.5428954423592492
Lukas Podolski,1217,5,0.0,5.0,3,True,deGermany,0.3697617091207889
Luke Wilkshire,418,0,0.0,0.0,2,True,auAustralia,0.0
Luís Fabiano,415,3,0.0,3.0,1,True,brBrazil,0.6506024096385542
Luís Figo,798,0,0.0,0.0,2,True,ptPortugal,0.0
Luís Oliveira,194,0,1.0,1.0,1,True,beBelgium,0.4639175257731959
Lyuboslav Penev,155,0,0.0,0.0,1,True,bgBulgaria,0.0
László Fazekas,270,2,0.0,2.0,2,True,huHungary,0.6666666666666667
László Kiss,164,3,0.0,3.0,1,True,huHungary,1.646341463414634
László Nagy,207,0,0.0,0.0,1,True,huHungary,0.0
László Pusztai,180,0,0.0,0.0,1,True,huHungary,0.0
M'Baye Niang,244,1,1.0,2.0,1,True,snSenegal,0.7377049180327869
Maciej Żurawski,407,0,0.0,0.0,2,True,plPoland,0.0
Maksim Kanunnikov,100,0,0.0,0.0,1,True,ruRussia,0.0
Maouhoub Ghazouani,235,1,0.0,1.0,1,True,maMorocco,0.3829787234042553
Marc Berdoll,107,1,0.0,1.0,1,True,frFrance,0.8411214953271028
Marc Degryse,535,2,0.0,2.0,2,True,beBelgium,0.33644859813084116
Marc Overmars,750,1,1.0,2.0,2,True,nlNetherlands,0.24
Marc Wilmots,682,5,0.0,5.0,3,True,beBelgium,0.6598240469208212
Marcelino Martínez,90,0,0.0,0.0,1,True,esSpain,0.0
Marcelo Salas,360,4,0.0,4.0,1,True,clChile,1.0
Marco Asensio,361,1,0.0,1.0,2,True,esSpain,0.24930747922437674
Marco Bode,325,1,0.0,1.0,1,True,deGermany,0.27692307692307694
Marco Streller,126,0,0.0,0.0,1,True,chSwitzerland,0.0
Marco Ureña,224,1,0.0,1.0,2,True,crCosta Rica,0.40178571428571425
Marco van Basten,360,0,0.0,0.0,1,True,nlNetherlands,0.0
Marcus Allbäck,418,1,0.0,1.0,2,True,seSweden,0.21531100478468898
Marcus Berg,425,0,0.0,0.0,1,True,seSweden,0.0
Marcus Rashford,342,3,0.0,3.0,2,True,engEngland,0.7894736842105263
Marcus Thuram,151,0,2.0,2.0,1,True,frFrance,1.1920529801324504
Marino Perani,180,0,0.0,0.0,1,True,itItaly,0.0
Mario Balotelli,207,1,0.0,1.0,1,True,itItaly,0.43478260869565216
Mario Gavranović,113,0,1.0,1.0,1,True,chSwitzerland,0.7964601769911505
Mario Gómez,150,0,1.0,1.0,2,True,deGermany,0.6000000000000001
Mario Götze,295,2,0.0,2.0,2,True,deGermany,0.6101694915254237
Mario Haas,110,0,0.0,0.0,1,True,atAustria,0.0
Mario Kempes,1443,6,0.0,6.0,3,True,arArgentina,0.37422037422037424
Mario Mandžukić,785,5,1.0,6.0,2,True,hrCroatia,0.6878980891719745
Mario Monge,113,0,0.0,0.0,1,True,svEl Salvador,0.0
Mario Pašalić,271,0,0.0,0.0,1,True,hrCroatia,0.0
Mario Pérez,360,0,0.0,0.0,1,True,mxMexico,0.0
Mario Stanić,663,1,2.0,3.0,2,True,hrCroatia,0.40723981900452494
Marius Lăcătuș,316,2,0.0,2.0,2,True,roRomania,0.569620253164557
Mark Fish,270,0,0.0,0.0,1,True,zaSouth Africa,0.0
Mark González,139,1,0.0,1.0,1,True,clChile,0.6474820143884893
Mark Hateley,176,0,0.0,0.0,1,True,engEngland,0.0
Mark Viduka,360,0,0.0,0.0,1,True,auAustralia,0.0
Marko Livaja,241,1,1.0,2.0,1,True,hrCroatia,0.7468879668049793
Marko Pantelić,114,1,0.0,1.0,1,True,rsSerbia,0.7894736842105263
Martin Braithwaite,354,0,0.0,0.0,2,True,dkDenmark,0.0
Martin Dahlin,442,4,0.0,4.0,1,True,seSweden,0.8144796380090499
Martin Hoffmann,486,1,0.0,1.0,1,True,Germany DR,0.1851851851851852
Marwan Mohsen,206,0,0.0,0.0,1,True,egEgypt,0.0
Masashi Nakayama,233,1,0.0,1.0,2,True,jpJapan,0.38626609442060084
Mateja Kežman,130,0,0.0,0.0,1,True,rsS & M,0.0
Mateus Galiano da Costa,179,0,0.0,0.0,1,True,aoAngola,0.0
Mathew Leckie,873,1,1.0,2.0,3,True,auAustralia,0.2061855670103093
Mathieu Valbuena,353,1,1.0,2.0,2,True,frFrance,0.509915014164306
Matthew Amoah,286,0,0.0,0.0,2,True,ghGhana,0.0
Mattias Jonson,221,0,0.0,0.0,2,True,seSweden,0.0
Maxi Rodríguez,905,2,0.0,2.0,3,True,arArgentina,0.1988950276243094
Maximiliano Meza,208,0,0.0,0.0,1,True,arArgentina,0.0
Mayanga Maku,198,0,0.0,0.0,1,True,cdZaire,0.0
Mbo Mpenza,221,0,0.0,0.0,2,True,beBelgium,0.0
Mehdi Ben Slimane,213,0,0.0,0.0,1,True,tnTunisia,0.0
Mehdi Taremi,473,2,1.0,3.0,2,True,irIR Iran,0.5708245243128964
Memphis,475,3,1.0,4.0,2,True,nlNetherlands,0.7578947368421053
Michael Arroyo,102,0,0.0,0.0,1,True,ecEcuador,0.0
Michael Estrada,225,0,0.0,0.0,1,True,ecEcuador,0.0
Michael Owen,718,4,0.0,4.0,3,True,engEngland,0.5013927576601671
Michy Batshuayi,265,2,0.0,2.0,2,True,beBelgium,0.6792452830188679
Miguel Ángel Benítez,366,1,0.0,1.0,1,True,pyParaguay,0.2459016393442623
Miguel Ángel Brindisi,258,1,0.0,1.0,1,True,arArgentina,0.3488372093023256
Miguel Ángel Díaz,103,0,0.0,0.0,1,True,svEl Salvador,0.0
Mikkel Damsgaard,150,0,0.0,0.0,1,True,dkDenmark,0.0
Milan Jovanović,243,1,0.0,1.0,1,True,rsSerbia,0.3703703703703704
Milan Osterc,182,0,0.0,0.0,1,True,siSlovenia,0.0
Milan Rapaić,213,1,0.0,1.0,1,True,hrCroatia,0.4225352112676056
Mile Sterjovski,240,0,0.0,0.0,1,True,auAustralia,0.0
Milivoje Novaković,270,0,0.0,0.0,1,True,siSlovenia,0.0
Milton Viera,270,0,0.0,0.0,1,True,uyUruguay,0.0
Mini Jakobsen,178,0,0.0,0.0,2,True,noNorway,0.0
Mirandinha,177,0,0.0,0.0,1,True,brBrazil,0.0
Mircea Lucescu,248,0,0.0,0.0,1,True,roRomania,0.0
Miroslav Klose,1776,16,0.0,16.0,4,True,deGermany,0.8108108108108109
Miroslav Stoch,195,0,0.0,0.0,1,True,skSlovakia,0.0
Mitchell Duke,270,1,0.0,1.0,1,True,auAustralia,0.33333333333333337
Mladen Rudonja,231,0,0.0,0.0,1,True,siSlovenia,0.0
Mo Johnston,270,1,0.0,1.0,1,True,sctScotland,0.33333333333333337
Mohamed Akid,261,0,0.0,0.0,1,True,tnTunisia,0.0
Mohamed Kader,270,1,0.0,1.0,1,True,tgTogo,0.33333333333333337
Mohamed Salah,180,2,0.0,2.0,1,True,egEgypt,1.0
Mohamed Timoumi,357,0,0.0,0.0,1,True,maMorocco,0.0
Mohammed Al Sahlawi,96,0,0.0,0.0,1,True,saSaudi Arabia,0.0
Mohammed Chaouch,171,1,0.0,1.0,1,True,maMorocco,0.5263157894736842
Mohammed El Filali,270,0,0.0,0.0,1,True,maMorocco,0.0
Mohammed Kudus,247,2,0.0,2.0,1,True,ghGhana,0.728744939271255
Mohammed Noor,335,0,0.0,0.0,2,True,saSaudi Arabia,0.0
Mordechai Spiegler,270,1,0.0,1.0,1,True,ilIsrael,0.33333333333333337
Moussa N'Diaye,159,0,0.0,0.0,1,True,snSenegal,0.0
Moustapha Salifou,241,0,0.0,0.0,1,True,tgTogo,0.0
Mun In-guk,202,0,0.0,0.0,1,True,kpKorea DPR,0.0
Mustafa Merry,176,0,0.0,0.0,1,True,maMorocco,0.0
Mágico González,270,0,0.0,0.0,1,True,svEl Salvador,0.0
Mário Coluna,540,0,0.0,0.0,1,True,ptPortugal,0.0
Márton Esterházy,270,1,0.0,1.0,1,True,huHungary,0.33333333333333337
Müller,531,2,0.0,2.0,3,True,brBrazil,0.3389830508474576
Nacer Chadli,428,1,1.0,2.0,2,True,beBelgium,0.4205607476635514
Nani,270,1,0.0,1.0,1,True,ptPortugal,0.33333333333333337
Naohiro Takahara,180,0,0.0,0.0,1,True,jpJapan,0.0
Nasko Sirakov,822,2,0.0,2.0,2,True,bgBulgaria,0.21897810218978103
Nasrollah Abdollahi,270,0,0.0,0.0,1,True,irIR Iran,0.0
Naïm Sliti,294,0,0.0,0.0,2,True,tnTunisia,0.0
Ndaye Mulamba,112,0,0.0,0.0,1,True,cdZaire,0.0
Nelson Valdez,577,0,0.0,0.0,2,True,pyParaguay,0.0
Neymar,1183,8,3.0,11.0,3,True,brBrazil,0.8368554522400676
Niall Quinn,398,1,0.0,1.0,2,True,ieRep. of Ireland,0.22613065326633167
Nicklas Bendtner,241,1,0.0,1.0,1,True,dkDenmark,0.37344398340248963
Nico Claesen,718,3,0.0,3.0,2,True,beBelgium,0.3760445682451254
Nico Van Kerckhoven,270,0,0.0,0.0,2,True,beBelgium,0.0
Nico Williams,146,0,0.0,0.0,1,True,esSpain,0.0
Nicolai Jørgensen,212,0,1.0,1.0,1,True,dkDenmark,0.4245283018867924
Nicolas Anelka,116,0,0.0,0.0,1,True,frFrance,0.0
Nikica Jelavić,94,0,0.0,0.0,1,True,hrCroatia,0.0
Nikola Kotkov,90,0,0.0,0.0,1,True,bgBulgaria,0.0
Nikola Vlašić,209,0,0.0,0.0,1,True,hrCroatia,0.0
Nikola Žigić,335,2,0.0,2.0,2,True,rsSerbia,0.5373134328358209
Nikos Machlas,225,0,0.0,0.0,1,True,grGreece,0.0
Nilmar,132,0,0.0,0.0,1,True,brBrazil,0.0
Noh Soo-jin,145,0,0.0,0.0,2,True,krKorea Republic,0.0
Nordin Amrabat,255,0,0.0,0.0,1,True,maMorocco,0.0
Norman Whiteside,620,1,0.0,1.0,2,True,nirNorthern Ireland,0.14516129032258066
Nwankwo Kanu,307,0,0.0,0.0,3,True,ngNigeria,0.0
Néstor Combin,90,0,0.0,0.0,1,True,frFrance,0.0
Odion Ighalo,122,0,0.0,0.0,1,True,ngNigeria,0.0
Ola Toivonen,397,1,1.0,2.0,1,True,seSweden,0.4534005037783375
Oleg Shatov,206,0,0.0,0.0,1,True,ruRussia,0.0
Oleh Blokhin,544,2,0.0,2.0,2,True,suSoviet Union,0.33088235294117646
Oleh Protasov,310,1,0.0,1.0,2,True,suSoviet Union,0.2903225806451613
Oliver Bierhoff,531,4,1.0,5.0,2,True,deGermany,0.847457627118644
Oliver Neuville,512,2,0.0,2.0,2,True,deGermany,0.3515625
