player,pos,squad,minutes,goals,assists,ga,goals_per90,assists_per90,ga_per90,wc_year
Valentin Afonin,DF,suSoviet Union,90,0,,,0.00,,,1966
Flórián Albert,FW,huHungary,360,0,,,0.00,,,1966
Enrico Albertosi,GK,itItaly,270,0,,,0.00,,,1966
Rafael Albrecht,DF,arArgentina,244,0,,,0.00,,,1966
Alcindo,"FW,MF",brBrazil,180,0,,,0.00,,,1966
José Augusto de Almeida,MF,ptPortugal,540,3,,,0.50,,,1966
Amancio Amaro,"FW,MF",esSpain,180,1,,,0.50,,,1966
José Ángel Iribar,GK,esSpain,270,0,,,0.00,,,1966
Pedro Araya Toro,"FW,MF",clChile,270,0,,,0.00,,,1966
Kurt Armbruster,"DF,MF",chSwitzerland,180,0,,,0.00,,,1966
Marcel Artelesa,DF,frFrance,270,0,,,0.00,,,1966
Luis Artime,FW,arArgentina,360,3,,,0.75,,,1966
Georgi Asparuhov,FW,bgBulgaria,270,1,,,0.33,,,1966
Marcel Aubour,GK,frFrance,270,0,,,0.00,,,1966
José Augusto Torres,FW,ptPortugal,540,3,,,0.50,,,1966
Alan Ball Jr.,MF,engEngland,390,0,,,0.00,,,1966
Heinz Bäni,"DF,MF",chSwitzerland,270,0,,,0.00,,,1966
Anatoliy Banishevskiy,FW,suSoviet Union,450,1,,,0.20,,,1966
Gordon Banks,GK,engEngland,570,0,,,0.00,,,1966
Alexandre Baptista,DF,ptPortugal,450,0,,,0.00,,,1966
Paolo Barison,"FW,MF",itItaly,180,1,,,0.50,,,1966
Silva Batuta,FW,brBrazil,90,0,,,0.00,,,1966
Franz Beckenbauer,"DF,MF",deWest Germany,570,4,,,0.63,,,1966
Hilderaldo Bellini,DF,brBrazil,180,0,,,0.00,,,1966
Ferenc Bene,FW,huHungary,360,4,,,1.00,,,1966
Kang Bong-chil,"DF,MF",kpKorea DPR,90,0,,,0.00,,,1966
Kim Bong-hwan,FW,kpKorea DPR,90,0,,,0.00,,,1966
Han Bong-zin,MF,kpKorea DPR,360,0,,,0.00,,,1966
Joseph Bonnel,MF,frFrance,270,0,,,0.00,,,1966
Enrique Borja,FW,mxMexico,270,1,,,0.33,,,1966
Bernard Bosquier,DF,frFrance,270,0,,,0.00,,,1966
Hércules Brito Ruas,DF,brBrazil,90,0,,,0.00,,,1966
René Brodmann,DF,chSwitzerland,180,0,,,0.00,,,1966
Albert Brülls,MF,deWest Germany,180,0,,,0.00,,,1966
Robert Budzynski,DF,frFrance,270,0,,,0.00,,,1966
Giacomo Bulgarelli,MF,itItaly,270,0,,,0.00,,,1966
Tarcisio Burgnich,DF,itItaly,180,0,,,0.00,,,1966
Omar Caetano,"DF,MF",uyUruguay,360,0,,,0.00,,,1966
Ignacio Calderón,GK,mxMexico,180,0,,,0.00,,,1966
Oscar Calics,"DF,MF",arArgentina,90,0,,,0.00,,,1966
Ian Callaghan,MF,engEngland,90,0,,,0.00,,,1966
Antonio Carbajal,GK,mxMexico,90,0,,,0.00,,,1966
Joaquim Carvalho,GK,ptPortugal,90,0,,,0.00,,,1966
Julio César Cortés,"FW,MF",uyUruguay,360,1,,,0.25,,,1966
Arturo Chaires,DF,mxMexico,270,0,,,0.00,,,1966
Lee Chang-myung,GK,kpKorea DPR,360,0,,,0.00,,,1966
Bobby Charlton,"FW,MF",engEngland,570,3,,,0.47,,,1966
Jack Charlton,DF,engEngland,570,0,,,0.00,,,1966
Igor Chislenko,"FW,MF",suSoviet Union,313,2,,,0.58,,,1966
Ernesto Cisneros,"FW,MF",mxMexico,90,0,,,0.00,,,1966
George Cohen,DF,engEngland,570,0,,,0.00,,,1966
Mário Coluna,"FW,MF",ptPortugal,540,0,,,0.00,,,1966
Néstor Combin,FW,frFrance,90,0,,,0.00,,,1966
Hilário da Conceição,DF,ptPortugal,540,0,,,0.00,,,1966
John Connelly,"FW,MF",engEngland,90,0,,,0.00,,,1966
Rildo da Costa Menezes,DF,brBrazil,90,1,,,1.00,,,1966
Humberto Cruz,"DF,MF",clChile,270,0,,,0.00,,,1966
Denílson Custódio Machado,MF,brBrazil,180,0,,,0.00,,,1966
Vasiliy Danilov,DF,suSoviet Union,360,0,,,0.00,,,1966
Ivan Davidov,"DF,MF",bgBulgaria,90,0,,,0.00,,,1966
Héctor De Bourgoing,"DF,FW",frFrance,90,1,,,1.00,,,1966
Gabriel De Michèle,DF,frFrance,90,0,,,0.00,,,1966
Jesús del Muro,DF,mxMexico,90,0,,,0.00,,,1966
Luis del Sol,MF,esSpain,180,0,,,0.00,,,1966
Dinko Dermendzhiev,"FW,MF",bgBulgaria,180,0,,,0.00,,,1966
Isidoro Díaz,"FW,MF",mxMexico,270,0,,,0.00,,,1966
Jean Djorkaeff,DF,frFrance,270,0,,,0.00,,,1966
Li Dong-woon,"DF,FW",kpKorea DPR,180,1,,,0.50,,,1966
Pak Doo-ik,"FW,MF",kpKorea DPR,360,1,,,0.25,,,1966
Richard Dürr,"FW,MF",chSwitzerland,90,0,,,0.00,,,1966
Léo Eichmann,GK,chSwitzerland,90,0,,,0.00,,,1966
Karl Elsener,GK,chSwitzerland,180,0,,,0.00,,,1966
Lothar Emmerich,FW,deWest Germany,390,1,,,0.23,,,1966
Eusébio,FW,ptPortugal,540,9,,,1.50,,,1966
Luis Eyzaguirre,DF,clChile,90,0,,,0.00,,,1966
Giacinto Facchetti,DF,itItaly,270,0,,,0.00,,,1966
János Farkas,FW,huHungary,360,1,,,0.25,,,1966
Roberto Ferreiro,DF,arArgentina,360,0,,,0.00,,,1966
Alberto Festa,DF,ptPortugal,270,0,,,0.00,,,1966
Altair Gomes de Figueiredo,DF,brBrazil,180,0,,,0.00,,,1966
Germano de Figueiredo,DF,ptPortugal,90,0,,,0.00,,,1966
Elías Figueroa,DF,clChile,270,0,,,0.00,,,1966
Romano Fogli,MF,itItaly,90,0,,,0.00,,,1966
Alberto Fouilloux,"FW,MF",clChile,180,0,,,0.00,,,1966
Javier Fragoso,"FW,MF",mxMexico,90,0,,,0.00,,,1966
Hansruedi Führer,DF,chSwitzerland,270,0,,,0.00,,,1966
Boris Gaganelov,DF,bgBulgaria,270,0,,,0.00,,,1966
Gallego,DF,esSpain,270,0,,,0.00,,,1966
Garrincha,"FW,MF",brBrazil,180,1,,,0.50,,,1966
József Gelei,GK,huHungary,270,0,,,0.00,,,1966
Francisco Gento,"FW,MF",esSpain,180,0,,,0.00,,,1966
Gérson,MF,brBrazil,90,0,,,0.00,,,1966
Viktor Getmanov,DF,suSoviet Union,90,0,,,0.00,,,1966
Jesús Glaría,"DF,MF",esSpain,90,0,,,0.00,,,1966
Néstor Gonçalves,MF,uyUruguay,360,0,,,0.00,,,1966
Philippe Gondet,FW,frFrance,270,0,,,0.00,,,1966
Vittore Gottardi,"FW,MF",chSwitzerland,180,0,,,0.00,,,1966
Jaime Graça,MF,ptPortugal,540,0,,,0.00,,,1966
Jimmy Greaves,"FW,MF",engEngland,270,0,,,0.00,,,1966
André Grobéty,DF,chSwitzerland,90,0,,,0.00,,,1966
Aristide Guarneri,DF,itItaly,90,0,,,0.00,,,1966
Helmut Haller,"FW,MF",deWest Germany,480,6,,,1.13,,,1966
Gérard Hausser,FW,frFrance,270,1,,,0.33,,,1966
Sigfried Held,"FW,MF",deWest Germany,570,1,,,0.16,,,1966
Paulo Henrique,DF,brBrazil,180,0,,,0.00,,,1966
Yves Herbet,MF,frFrance,180,0,,,0.00,,,1966
Robert Herbin,"DF,MF",frFrance,180,0,,,0.00,,,1966
Guillermo Hernández,DF,mxMexico,270,0,,,0.00,,,1966
Robert Hosp,FW,chSwitzerland,270,0,,,0.00,,,1966
Horst-Dieter Höttges,DF,deWest Germany,480,0,,,0.00,,,1966
Roger Hunt,FW,engEngland,570,3,,,0.47,,,1966
Geoff Hurst,FW,engEngland,300,4,,,1.20,,,1966
Jairzinho,"FW,MF",brBrazil,270,0,,,0.00,,,1966
Francesco Janich,DF,itItaly,90,0,,,0.00,,,1966
Ignacio Jáuregui,DF,mxMexico,90,0,,,0.00,,,1966
Ha Jung-won,"DF,MF",kpKorea DPR,180,0,,,0.00,,,1966
Benő Káposzta,DF,huHungary,360,0,,,0.00,,,1966
Anzor Kavazashvili,GK,suSoviet Union,180,0,,,0.00,,,1966
Murtaz Khurtsilava,DF,suSoviet Union,270,0,,,0.00,,,1966
Galimzyan Khusainov,FW,suSoviet Union,360,0,,,0.00,,,1966
Stoyan Kitov,MF,bgBulgaria,90,0,,,0.00,,,1966
Ivan Kolev,"FW,MF",bgBulgaria,180,0,,,0.00,,,1966
Alexey Korneyev,"DF,MF",suSoviet Union,180,0,,,0.00,,,1966
Aleksandar Kostov,"FW,MF",bgBulgaria,90,0,,,0.00,,,1966
Nikola Kotkov,FW,bgBulgaria,90,0,,,0.00,,,1966
Werner Krämer,"FW,MF",deWest Germany,90,0,,,0.00,,,1966
Köbi Kuhn,MF,chSwitzerland,180,0,,,0.00,,,1966
Fritz Künzli,FW,chSwitzerland,180,0,,,0.00,,,1966
Honorino Landa,"FW,MF",clChile,180,0,,,0.00,,,1966
Spartaco Landini,DF,itItaly,90,0,,,0.00,,,1966
Carlos Lapetra,"FW,MF",esSpain,90,0,,,0.00,,,1966
Dimitar Largov,DF,bgBulgaria,90,0,,,0.00,,,1966
Werner Leimgruber,DF,chSwitzerland,90,0,,,0.00,,,1966
Gianfranco Leoncini,MF,itItaly,90,0,,,0.00,,,1966
Pak Li-sup,DF,kpKorea DPR,180,0,,,0.00,,,1966
Giovanni Lodetti,MF,itItaly,180,0,,,0.00,,,1966
Vicente Lucas,"DF,MF",ptPortugal,360,0,,,0.00,,,1966
Friedel Lutz,DF,deWest Germany,90,0,,,0.00,,,1966
Eduard Malofeyev,FW,suSoviet Union,450,3,,,0.60,,,1966
Manga,GK,brBrazil,90,0,,,0.00,,,1966
Jorge Manicera,DF,uyUruguay,360,0,,,0.00,,,1966
Rubén Marcos,MF,clChile,270,2,,,0.67,,,1966
Josep Maria Fusté,MF,esSpain,90,1,,,1.00,,,1966
Alberto Mario González,"FW,MF",arArgentina,360,0,,,0.00,,,1966
Eduard Markarov,FW,suSoviet Union,90,0,,,0.00,,,1966
Marcelino Martínez,FW,esSpain,90,0,,,0.00,,,1966
Silvio Marzolini,DF,arArgentina,360,0,,,0.00,,,1966
Oscar Más,FW,arArgentina,360,0,,,0.00,,,1966
Imre Mathesz,MF,huHungary,180,0,,,0.00,,,1966
Sándor Mátrai,DF,huHungary,360,0,,,0.00,,,1966
Ladislao Mazurkiewicz,GK,uyUruguay,360,0,,,0.00,,,1966
Sandro Mazzola,"FW,MF",itItaly,270,1,,,0.33,,,1966
Magdaleno Mercado,MF,mxMexico,180,0,,,0.00,,,1966
Gigi Meroni,MF,itItaly,90,0,,,0.00,,,1966
Kálmán Mészöly,"DF,MF",huHungary,360,2,,,0.50,,,1966
Slava Metreveli,"FW,MF",suSoviet Union,180,0,,,0.00,,,1966
Bobby Moore,DF,engEngland,570,0,,,0.00,,,1966
João Morais,"DF,MF",ptPortugal,270,0,,,0.00,,,1966
István Nagy,MF,huHungary,180,0,,,0.00,,,1966
Georgi Naydenov,GK,bgBulgaria,180,0,,,0.00,,,1966
Gylmar dos Santos Neves,GK,brBrazil,180,0,,,0.00,,,1966
Gabriel Núñez,DF,mxMexico,270,0,,,0.00,,,1966
Karl Odermatt,"FW,MF",chSwitzerland,90,0,,,0.00,,,1966
Juan Olivares,GK,clChile,270,0,,,0.00,,,1966
Ermindo Onega,"FW,MF",arArgentina,360,1,,,0.25,,,1966
Leonīds Ostrovskis,DF,suSoviet Union,180,0,,,0.00,,,1966
Wolfgang Overath,"FW,MF",deWest Germany,570,0,,,0.00,,,1966
Aarón Padilla Gutiérrez,FW,mxMexico,270,0,,,0.00,,,1966
Terry Paine,"FW,MF",engEngland,90,0,,,0.00,,,1966
Paraná,FW,brBrazil,90,0,,,0.00,,,1966
Ezio Pascutti,FW,itItaly,90,0,,,0.00,,,1966
Orlando Peçanha,DF,brBrazil,90,0,,,0.00,,,1966
Joaquín Peiró,"FW,MF",esSpain,180,0,,,0.00,,,1966
Pelé,"FW,MF",brBrazil,180,1,,,0.50,,,1966
Gustavo Peña,DF,mxMexico,270,0,,,0.00,,,1966
Dimitar Penev,DF,bgBulgaria,270,0,,,0.00,,,1966
Marino Perani,FW,itItaly,180,0,,,0.00,,,1966
José Pereira,GK,ptPortugal,450,0,,,0.00,,,1966
Domingo Pérez,"FW,MF",uyUruguay,360,0,,,0.00,,,1966
Roberto Perfumo,DF,arArgentina,360,0,,,0.00,,,1966
Martin Peters,MF,engEngland,480,1,,,0.19,,,1966
Pirri,"DF,MF",esSpain,180,1,,,0.50,,,1966
Vladimir Ponomaryov,"DF,FW",suSoviet Union,450,0,,,0.00,,,1966
Valeriy Porkujan,FW,suSoviet Union,270,4,,,1.33,,,1966
Ignacio Prieto,DF,clChile,270,0,,,0.00,,,1966
René-Pierre Quentin,MF,chSwitzerland,180,1,,,0.50,,,1966
Gyula Rákosi,"FW,MF",huHungary,360,0,,,0.00,,,1966
Antonio Rattín,MF,arArgentina,304,0,,,0.00,,,1966
Severino Reija,DF,esSpain,180,0,,,0.00,,,1966
Salvador Reyes Monteón,FW,mxMexico,270,0,,,0.00,,,1966
Gianni Rivera,"FW,MF",itItaly,180,0,,,0.00,,,1966
Pedro Rocha,"FW,MF",uyUruguay,360,1,,,0.25,,,1966
Adelardo Rodríguez,MF,esSpain,90,0,,,0.00,,,1966
Antonio Roma,GK,arArgentina,360,0,,,0.00,,,1966
Roberto Rosato,DF,itItaly,180,0,,,0.00,,,1966
Kang Ryong-woon,"FW,MF",kpKorea DPR,90,0,,,0.00,,,1966
Yozhef Sabo,MF,suSoviet Union,360,0,,,0.00,,,1966
Héctor Salva,"FW,MF",uyUruguay,90,0,,,0.00,,,1966
Sandro Salvadore,DF,itItaly,180,0,,,0.00,,,1966
Leonel Sánchez,"FW,MF",clChile,270,0,,,0.00,,,1966
Manuel Sanchís,DF,esSpain,270,1,,,0.33,,,1966
Antônio Lima dos Santos,DF,brBrazil,270,0,,,0.00,,,1966
Djalma Santos,DF,brBrazil,180,0,,,0.00,,,1966
José Maria Fidélis dos Santos,DF,brBrazil,90,0,,,0.00,,,1966
José Sasía,FW,uyUruguay,180,0,,,0.00,,,1966
Jean-Claude Schindelholz,FW,chSwitzerland,90,0,,,0.00,,,1966
Heinz Schneiter,DF,chSwitzerland,90,0,,,0.00,,,1966
Karl-Heinz Schnellinger,DF,deWest Germany,570,0,,,0.00,,,1966
Willi Schulz,DF,deWest Germany,570,0,,,0.00,,,1966
Uwe Seeler,FW,deWest Germany,570,2,,,0.32,,,1966
Viktor Serebryanikov,MF,suSoviet Union,180,0,,,0.00,,,1966
Im Seung-hwi,MF,kpKorea DPR,360,0,,,0.00,,,1966
Kim Seung-il,FW,kpKorea DPR,180,0,,,0.00,,,1966
Yang Seung-kook,FW,kpKorea DPR,180,1,,,0.50,,,1966
Pak Seung-zin,"FW,MF",kpKorea DPR,360,2,,,0.50,,,1966
Aleksandar Shalamanov,DF,bgBulgaria,180,0,,,0.00,,,1966
Albert Shesternyov,DF,suSoviet Union,450,0,,,0.00,,,1966
Giorgi Sichinava,MF,suSoviet Union,180,0,,,0.00,,,1966
Héctor Silva,"FW,MF",uyUruguay,143,0,,,0.00,,,1966
José Carlos da Silva José,DF,ptPortugal,180,0,,,0.00,,,1966
Eladio Silvestre,DF,esSpain,90,0,,,0.00,,,1966
Simeon Simeonov,GK,bgBulgaria,90,0,,,0.00,,,1966
António Simões,"FW,MF",ptPortugal,540,1,,,0.17,,,1966
Jacques Simon,MF,frFrance,180,0,,,0.00,,,1966
Ferenc Sipos,"DF,MF",huHungary,360,0,,,0.00,,,1966
Jorge Solari,MF,arArgentina,360,0,,,0.00,,,1966
Kálmán Sóvári,DF,huHungary,90,0,,,0.00,,,1966
Xavier Stierli,"DF,MF",chSwitzerland,180,0,,,0.00,,,1966
Nobby Stiles,"DF,MF",engEngland,570,0,,,0.00,,,1966
Luis Suárez,MF,esSpain,180,0,,,0.00,,,1966
Antal Szentmihályi,GK,huHungary,90,0,,,0.00,,,1966
Gusztáv Szepesi,DF,huHungary,270,0,,,0.00,,,1966
Ely Tacchella,DF,chSwitzerland,90,0,,,0.00,,,1966
Hans Tilkowski,GK,deWest Germany,570,0,,,0.00,,,1966
Armando Tobar,FW,clChile,90,0,,,0.00,,,1966
Tostão,"FW,MF",brBrazil,90,1,,,1.00,,,1966
Horacio Troche,DF,uyUruguay,318,0,,,0.00,,,1966
Luis Ubiña,DF,uyUruguay,360,0,,,0.00,,,1966
José Ufarte,"FW,MF",esSpain,90,0,,,0.00,,,1966
Aldo Valentini,DF,clChile,180,0,,,0.00,,,1966
Milton Viera,"FW,MF",uyUruguay,270,0,,,0.00,,,1966
Hugo Villanueva,DF,clChile,270,0,,,0.00,,,1966
Valery Voronin,MF,suSoviet Union,450,0,,,0.00,,,1966
Ivan Vutsov,"DF,MF",bgBulgaria,270,0,,,0.00,,,1966
Wolfgang Weber,DF,deWest Germany,570,1,,,0.16,,,1966
Ray Wilson,DF,engEngland,570,0,,,0.00,,,1966
Dimitar Yakimov,"FW,MF",bgBulgaria,270,0,,,0.00,,,1966
Lev Yashin,GK,suSoviet Union,360,0,,,0.00,,,1966
Guillermo Yávar,"FW,MF",clChile,90,0,,,0.00,,,1966
Oh Yoon-kyung,"DF,MF",kpKorea DPR,270,0,,,0.00,,,1966
Shin Yung-kyoo,DF,kpKorea DPR,360,0,,,0.00,,,1966
Dobromir Zhechev,DF,bgBulgaria,270,0,,,0.00,,,1966
Petar Zhekov,FW,bgBulgaria,90,0,,,0.00,,,1966
Ignacio Zoco,MF,esSpain,270,0,,,0.00,,,1966
Lim Zoong-sun,DF,kpKorea DPR,360,0,,,0.00,,,1966
Stere Adamache,GK,roRomania,206,0,,,0.00,,,1970
Jozef Adamec,"FW,MF",csCzechoslovakia,225,0,,,0.00,,,1970
Valentin Afonin,DF,suSoviet Union,300,0,,,0.00,,,1970
Stefan Aladzhov,DF,bgBulgaria,90,0,,,0.00,,,1970
Ahmed Alaoui,FW,maMorocco,83,0,,,0.00,,,1970
Carlos Alberto Torres,DF,brBrazil,540,1,,,0.17,,,1970
Enrico Albertosi,GK,itItaly,570,0,,,0.00,,,1970
Mauricio Alonso Rodríguez,MF,svEl Salvador,254,0,,,0.00,,,1970
Atilio Ancheta,DF,uyUruguay,570,0,,,0.00,,,1970
José de Anchieta Fontana,DF,brBrazil,90,0,,,0.00,,,1970
Marco Antônio,DF,brBrazil,121,0,,,0.00,,,1970
Ernesto Aparicio,FW,svEl Salvador,156,0,,,0.00,,,1970
Kakhi Asatiani,MF,suSoviet Union,260,1,,,0.35,,,1970
Georgi Asparuhov,FW,bgBulgaria,198,0,,,0.00,,,1970
Jeff Astle,FW,engEngland,92,0,,,0.00,,,1970
Kurt Axelsson,DF,seSweden,270,0,,,0.00,,,1970
Alan Ball Jr.,MF,engEngland,326,0,,,0.00,,,1970
Driss Bamous,MF,maMorocco,206,0,,,0.00,,,1970
Gordon Banks,GK,engEngland,270,0,,,0.00,,,1970
Shraga Bar,DF,ilIsrael,225,0,,,0.00,,,1970
Rúben Bareño,FW,uyUruguay,69,0,,,0.00,,,1970
Julio Baylón,"FW,MF",pePeru,103,0,,,0.00,,,1970
Franz Beckenbauer,"DF,MF",deWest Germany,491,1,,,0.18,,,1970
Colin Bell,MF,engEngland,169,0,,,0.00,,,1970
Menachem Bello,DF,ilIsrael,90,0,,,0.00,,,1970
Allal Ben Kassou,GK,maMorocco,180,0,,,0.00,,,1970
Boujemaa Benkhrif,DF,maMorocco,245,0,,,0.00,,,1970
Mario Bertini,MF,itItaly,553,0,,,0.00,,,1970
Peter Bonetti,GK,engEngland,120,0,,,0.00,,,1970
Hristo Bonev,"FW,MF",bgBulgaria,203,1,,,0.44,,,1970
Roberto Boninsegna,FW,itItaly,563,2,,,0.32,,,1970
Enrique Borja,FW,mxMexico,68,0,,,0.00,,,1970
Hércules Brito Ruas,DF,brBrazil,540,0,,,0.00,,,1970
Tarcisio Burgnich,DF,itItaly,570,1,,,0.16,,,1970
Anatoliy Byshovets,FW,suSoviet Union,390,4,,,0.92,,,1970
Salvador Cabezas,FW,svEl Salvador,261,0,,,0.00,,,1970
Ignacio Calderón,GK,mxMexico,360,0,,,0.00,,,1970
Eloy Campos,DF,pePeru,118,0,,,0.00,,,1970
Ján Čapkovič,FW,csCzechoslovakia,71,0,,,0.00,,,1970
Guillermo Castro,DF,svEl Salvador,90,0,,,0.00,,,1970
Pierluigi Cera,"DF,MF",itItaly,570,0,,,0.00,,,1970
Julio César Cortés,"FW,MF",uyUruguay,559,0,,,0.00,,,1970
Paulo Cézar Caju,FW,brBrazil,233,0,,,0.00,,,1970
Roberto Challe,MF,pePeru,341,1,,,0.26,,,1970
Bobby Charlton,"FW,MF",engEngland,285,0,,,0.00,,,1970
Jack Charlton,DF,engEngland,90,0,,,0.00,,,1970
Moustapha Choukri,MF,maMorocco,45,0,,,0.00,,,1970
Héctor Chumpitaz,DF,pePeru,360,1,,,0.25,,,1970
Allan Clarke,FW,engEngland,90,1,,,1.00,,,1970
Clodoaldo,"DF,FW",brBrazil,523,1,,,0.17,,,1970
Terry Cooper,DF,engEngland,390,0,,,0.00,,,1970
Santiago Cortés,DF,svEl Salvador,91,0,,,0.00,,,1970
Claes Cronqvist,FW,seSweden,90,0,,,0.00,,,1970
Luis Cruzado,MF,pePeru,54,0,,,0.00,,,1970
Luis Cubilla,FW,uyUruguay,480,1,,,0.19,,,1970
Teófilo Cubillas,MF,pePeru,360,5,,,1.25,,,1970
Ivan Davidov,"DF,MF",bgBulgaria,90,0,,,0.00,,,1970
José Luis González Dávila,"FW,MF",mxMexico,247,1,,,0.36,,,1970
Giancarlo De Sisti,MF,itItaly,570,0,,,0.00,,,1970
Emerich Dembrovschi,FW,roRomania,270,1,,,0.33,,,1970
Dinko Dermendzhiev,"FW,MF",bgBulgaria,135,1,,,0.67,,,1970
Johan Devrindt,"FW,MF",beBelgium,116,0,,,0.00,,,1970
Nicolas Dewalque,DF,beBelgium,270,0,,,0.00,,,1970
Isidoro Díaz,"FW,MF",mxMexico,31,0,,,0.00,,,1970
Ivan Dimitrov,DF,bgBulgaria,139,0,,,0.00,,,1970
Cornel Dinu,DF,roRomania,270,0,,,0.00,,,1970
Karol Dobiaš,"DF,MF",csCzechoslovakia,270,0,,,0.00,,,1970
Jean Dockx,MF,beBelgium,270,0,,,0.00,,,1970
Angelo Domenghini,"FW,MF",itItaly,473,1,,,0.19,,,1970
Florea Dumitrache,FW,roRomania,251,2,,,0.72,,,1970
Ion Dumitru,"FW,MF",roRomania,260,0,,,0.00,,,1970
Revaz Dzodzuashvili,DF,suSoviet Union,282,0,,,0.00,,,1970
Jonas Eduardo Américo,FW,brBrazil,17,0,,,0.00,,,1970
Inge Ejderstedt,"FW,MF",seSweden,35,0,,,0.00,,,1970
Leif Eriksson,FW,seSweden,145,0,,,0.00,,,1970
Víctor Espárrago,MF,uyUruguay,317,1,,,0.28,,,1970
Everaldo,"DF,FW",brBrazil,419,0,,,0.00,,,1970
Giacinto Facchetti,DF,itItaly,570,0,,,0.00,,,1970
Jalili Fadili,DF,maMorocco,115,0,,,0.00,,,1970
Ahmed Faras,"FW,MF",maMorocco,36,0,,,0.00,,,1970
Yehoshua Feigenbaum,FW,ilIsrael,225,0,,,0.00,,,1970
José Fernández,DF,pePeru,90,0,,,0.00,,,1970
Klaus Fichtel,"DF,MF",deWest Germany,480,0,,,0.00,,,1970
Mohammed El Filali,"FW,MF",maMorocco,270,0,,,0.00,,,1970
Dagoberto Fontes,FW,uyUruguay,267,0,,,0.00,,,1970
Javier Fragoso,"FW,MF",mxMexico,360,1,,,0.25,,,1970
Nicolás Fuentes,DF,pePeru,360,0,,,0.00,,,1970
Giuseppe Furino,MF,itItaly,45,0,,,0.00,,,1970
Boris Gaganelov,DF,bgBulgaria,57,0,,,0.00,,,1970
Alberto Gallardo,FW,pePeru,345,2,,,0.52,,,1970
Milko Gaydarski,DF,bgBulgaria,180,0,,,0.00,,,1970
Vasile Gergely,MF,roRomania,10,0,,,0.00,,,1970
Gérson,MF,brBrazil,307,1,,,0.29,,,1970
Said Ghandi,"DF,MF",maMorocco,260,0,,,0.00,,,1970
Maouhoub Ghazouani,"FW,MF",maMorocco,235,1,,,0.38,,,1970
Alberto Gómez,FW,uyUruguay,25,0,,,0.00,,,1970
Javier González,MF,pePeru,62,0,,,0.00,,,1970
Pedro González,MF,pePeru,180,0,,,0.00,,,1970
Sergio Gori,FW,itItaly,7,0,,,0.00,,,1970
Jürgen Grabowski,"FW,MF",deWest Germany,281,0,,,0.00,,,1970
Ove Grahn,FW,seSweden,97,1,,,0.93,,,1970
Roland Grip,DF,seSweden,270,0,,,0.00,,,1970
Javier Guzmán,DF,mxMexico,360,0,,,0.00,,,1970
Vladimír Hagara,DF,csCzechoslovakia,180,0,,,0.00,,,1970
Helmut Haller,"FW,MF",deWest Germany,44,0,,,0.00,,,1970
Mohammed Hazzaz,GK,maMorocco,90,0,,,0.00,,,1970
Sigfried Held,"FW,MF",deWest Germany,235,0,,,0.00,,,1970
Ronnie Hellström,GK,seSweden,90,0,,,0.00,,,1970
Guillermo Hernández,DF,mxMexico,90,0,,,0.00,,,1970
Georges Heylens,DF,beBelgium,270,0,,,0.00,,,1970
Alexander Horváth,DF,csCzechoslovakia,180,0,,,0.00,,,1970
Horst-Dieter Höttges,DF,deWest Germany,255,0,,,0.00,,,1970
Ivan Hrdlička,MF,csCzechoslovakia,45,0,,,0.00,,,1970
Vladimír Hrivnák,DF,csCzechoslovakia,90,0,,,0.00,,,1970
Norman Hunter,"DF,MF",engEngland,40,0,,,0.00,,,1970
Geoff Hurst,FW,engEngland,300,1,,,0.30,,,1970
Juan Ignacio Basaguren,"FW,MF",mxMexico,60,1,,,1.50,,,1970
Jairzinho,"FW,MF",brBrazil,529,7,,,1.19,,,1970
Houmane Jarir,FW,maMorocco,180,1,,,0.50,,,1970
Léon Jeck,"DF,MF",beBelgium,180,0,,,0.00,,,1970
Karol Jokl,"FW,MF",csCzechoslovakia,177,0,,,0.00,,,1970
Antonio Juliano,MF,itItaly,17,0,,,0.00,,,1970
Josef Jurkanin,FW,csCzechoslovakia,45,0,,,0.00,,,1970
Volodymyr Kaplychnyi,DF,suSoviet Union,243,0,,,0.00,,,1970
Anzor Kavazashvili,GK,suSoviet Union,390,0,,,0.00,,,1970
Moulay Khanousi,DF,maMorocco,270,0,,,0.00,,,1970
Abdelkader El Khiati,"DF,MF",maMorocco,35,0,,,0.00,,,1970
Vitaliy Khmelnytskyi,FW,suSoviet Union,325,1,,,0.28,,,1970
Murtaz Khurtsilava,DF,suSoviet Union,265,0,,,0.00,,,1970
Ove Kindvall,FW,seSweden,237,0,,,0.00,,,1970
Nikolay Kiselyov,MF,suSoviet Union,148,0,,,0.00,,,1970
Todor Kolev,"DF,MF",bgBulgaria,180,1,,,0.50,,,1970
Ladislav Kuna,MF,csCzechoslovakia,270,0,,,0.00,,,1970
Andrej Kvašňák,"FW,MF",csCzechoslovakia,135,0,,,0.00,,,1970
Orlando de la Torre,DF,pePeru,270,0,,,0.00,,,1970
Brian Labone,DF,engEngland,300,0,,,0.00,,,1970
Raoul Lambert,FW,beBelgium,180,2,,,1.00,,,1970
Abdallah Lamrani,DF,maMorocco,180,0,,,0.00,,,1970
Bo Larsson,"FW,MF",seSweden,259,0,,,0.00,,,1970
Sven-Gunnar Larsson,GK,seSweden,180,0,,,0.00,,,1970
Francis Lee,FW,engEngland,256,0,,,0.00,,,1970
Reinhard Libuda,"FW,MF",deWest Germany,358,1,,,0.25,,,1970
