player,pos,squad,minutes,goals,assists,ga,goals_per90,assists_per90,ga_per90,wc_year
Bryan Oviedo,DF,crCosta Rica,180,0,0,0,0.00,0.00,0.00,2018
Mohammed Al-Owais,GK,saSaudi Arabia,90,0,0,0,0.00,0.00,0.00,2018
Mesut Özil,MF,deGermany,180,0,0,0,0.00,0.00,0.00,2018
Rui Patrício,GK,ptPortugal,360,0,0,0,0.00,0.00,0.00,2018
Paulinho,MF,brBrazil,349,1,0,1,0.26,0.00,0.26,2018
Benjamin Pavard,DF,frFrance,540,1,0,1,0.17,0.00,0.17,2018
Cristian Pavón,FW,arArgentina,155,0,0,0,0.00,0.00,0.00,2018
Michał Pazdan,DF,plPoland,169,0,0,0,0.00,0.00,0.00,2018
Jaime Penedo,GK,paPanama,270,0,0,0,0.00,0.00,0.00,2018
Pepe,DF,ptPortugal,360,1,0,1,0.25,0.00,0.25,2018
Oribe Peralta,FW,mxMexico,2,0,0,0,0.00,0.00,0.00,2018
Ricardo Pereira,DF,ptPortugal,90,0,0,0,0.00,0.00,0.00,2018
Blas Pérez,FW,paPanama,162,0,0,0,0.00,0.00,0.00,2018
Enzo Pérez,MF,arArgentina,192,0,0,0,0.00,0.00,0.00,2018
Ivan Perišić,MF,hrCroatia,629,3,1,4,0.43,0.14,0.57,2018
Sławomir Peszko,MF,plPoland,11,0,0,0,0.00,0.00,0.00,2018
Jordan Pickford,GK,engEngland,690,0,0,0,0.00,0.00,0.00,2018
Gerard Piqué,DF,esSpain,390,0,0,0,0.00,0.00,0.00,2018
Łukasz Piszczek,DF,plPoland,172,0,0,0,0.00,0.00,0.00,2018
Josip Pivarić,DF,hrCroatia,203,0,0,0,0.00,0.00,0.00,2018
Marko Pjaca,MF,hrCroatia,83,0,0,0,0.00,0.00,0.00,2018
Marvin Plattenhardt,DF,deGermany,78,0,0,0,0.00,0.00,0.00,2018
Paul Pogba,MF,frFrance,538,1,0,1,0.17,0.00,0.17,2018
Yussuf Poulsen,"MF,FW",dkDenmark,268,1,0,1,0.34,0.00,0.34,2018
Morteza Pouraliganji,DF,irIR Iran,270,0,0,0,0.00,0.00,0.00,2018
Aleksandar Prijović,FW,rsSerbia,2,0,0,0,0.00,0.00,0.00,2018
Ricardo Quaresma,MF,ptPortugal,116,1,0,1,0.78,0.00,0.78,2018
Juan Quintero,MF,coColombia,307,1,2,3,0.29,0.59,0.88,2018
Nemanja Radonjić,"FW,MF",rsSerbia,19,0,0,0,0.00,0.00,0.00,2018
Ivan Rakitić,MF,hrCroatia,640,1,0,1,0.14,0.00,0.14,2018
Christian Ramos,DF,pePeru,270,0,0,0,0.00,0.00,0.00,2018
Sergio Ramos,DF,esSpain,390,0,0,0,0.00,0.00,0.00,2018
Marcus Rashford,FW,engEngland,202,0,0,0,0.00,0.00,0.00,2018
Ante Rebić,MF,hrCroatia,543,1,0,1,0.17,0.00,0.17,2018
Marco Reus,MF,deGermany,211,1,1,2,0.43,0.43,0.85,2018
Ramin Rezaeian,DF,irIR Iran,270,0,0,0,0.00,0.00,0.00,2018
Josh Risdon,DF,auAustralia,270,0,0,0,0.00,0.00,0.00,2018
Rodrigo,"FW,MF",esSpain,26,0,0,0,0.00,0.00,0.00,2018
Alberto Rodríguez,DF,pePeru,135,0,0,0,0.00,0.00,0.00,2018
Cristian Rodríguez,MF,uyUruguay,168,0,0,0,0.00,0.00,0.00,2018
